name,duration,duration_stdev,duration_median,num_warnings,num_warnings_stdev,num_warnings_median,context_switches,context_switches_stdev,migrations,migrations_stdev,page_faults,page_faults_stdev,instructions,instructions_stdev,branches,branches_stdev,branch_misses,branch_misses_stdev,branch_miss_rate,branch_miss_rate_stdev,l1_loads,l1_loads_stdev,l1_load_misses,l1_load_misses_stdev,l1_miss_rate,l1_miss_rate_stdev,llc_loads,llc_loads_stdev,llc_load_misses,llc_load_misses_stdev,llc_miss_rate,llc_miss_rate_stdev
OmpSCR-fft,5710.9,1231.6540324115192,5139.0,14.5,1.90029237516523,14.0,0,0.0,0,0.0,0,0.0,111487731696.9,21779794347.057194,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
OmpSCR-fft6,892,85.95476846703866,881.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,162946380039.8,3221410448.942282,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB001,150.4,29.34545204210621,152.5,2,0.0,2.0,0,0.0,0,0.0,0,0.0,4399328415.1,1333599890.066523,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB002,156.9,32.35720768065268,155.0,2,0.0,2.0,0,0.0,0,0.0,0,0.0,4769620181.1,1081289612.5733464,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB003,134,30.84369195367723,132.0,2,0.0,2.0,0,0.0,0,0.0,0,0.0,4909858197.6,2179446281.2463007,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB004,144.4,43.32358864791019,138.5,2,0.0,2.0,0,0.0,0,0.0,0,0.0,5685743137.4,2528696112.6894293,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB005,109,15.0996688705415,106.5,3,0.0,3.0,0,0.0,0,0.0,0,0.0,3949638694,1229288003.216612,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB006,128.4,26.22212806009459,124.5,3,0.0,3.0,0,0.0,0,0.0,0,0.0,4577445842.9,1597971016.0705857,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB007,122.5,22.222361110677085,120.0,3,0.0,3.0,0,0.0,0,0.0,0,0.0,4685394462.1,1418500583.4663475,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB008,132.5,8.822320178577364,134.0,2,0.0,2.0,0,0.0,0,0.0,0,0.0,4572097755.1,864149315.5946435,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB009,150.6,22.33184074614341,145.5,1.6,0.5163977794943222,2.0,0,0.0,0,0.0,0,0.0,4336389258.1,1030078723.9728608,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB010,137.8,18.52205892082915,138.0,1.7,0.48304589153964794,2.0,0,0.0,0,0.0,0,0.0,4517783002.8,1008707693.8746684,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB011,149.6,28.15512584079693,147.0,2,0.0,2.0,0,0.0,0,0.0,0,0.0,3997857580.2,1007576864.9092329,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB012,152.6,18.032070196057788,148.5,2,0.0,2.0,0,0.0,0,0.0,0,0.0,4247987152.5,800611621.4336236,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB013,108.6,27.77368858790236,104.0,0.7,0.9486832980505138,0.0,0,0.0,0,0.0,0,0.0,3322194438.3,1974791282.7010026,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB014,153.8,22.13995884769838,155.5,2,0.0,2.0,0,0.0,0,0.0,0,0.0,4108458581.3,804027901.6955159,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB015,157.8,27.44610881143061,159.0,2,0.0,2.0,0,0.0,0,0.0,0,0.0,4243342207.4,1065876596.5671172,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB016,156.4,21.22472352915083,165.0,2.5,0.5270462766947299,2.5,0,0.0,0,0.0,0,0.0,5053254608.5,1294136512.093485,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB017,146.1,29.45599354215633,150.0,2.1,0.5676462121975467,2.0,0,0.0,0,0.0,0,0.0,4604530767,1044298462.9772011,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB018,191.3,25.837311521647656,194.0,34.3,4.270050741306634,33.5,0,0.0,0,0.0,0,0.0,6438438439.1,1103191164.2500544,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB019,259.8,13.950706871776147,262.5,94.2,5.6134758493389025,94.0,0,0.0,0,0.0,0,0.0,10896343895,1000794841.244518,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB020,158.9,28.965304916207753,165.0,1.4,0.5163977794943222,1.0,0,0.0,0,0.0,0,0.0,4469234355,894646078.9976059,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB021,148.2,15.99166449539676,146.5,16.1,2.998147576235848,16.0,0,0.0,0,0.0,0,0.0,4351975419.3,627256296.7774903,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB022,177.5,30.343404921370016,180.5,17.5,3.2744804507314167,18.0,0,0.0,0,0.0,0,0.0,5262906723.8,1182822027.413008,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB023,115.2,20.719287847049397,109.5,1,0.0,1.0,0,0.0,0,0.0,0,0.0,3394579793.9,1124875663.833423,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB024,14.4,0.5163977794943222,14.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,27630790.8,974.4789832976845,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB025,14.1,0.7378647873726218,14.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,27324684,1971.229283693018,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB026,164.7,42.91865691178035,156.0,2,0.0,2.0,0,0.0,0,0.0,0,0.0,4735166255.1,1114866576.6350157,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB027,142.3,20.960544946266175,148.0,2.9,0.31622776601683794,3.0,0,0.0,0,0.0,0,0.0,5814442228.2,1587262524.793986,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB028,133.1,14.24741691988021,135.5,1.4,0.5163977794943222,1.0,0,0.0,0,0.0,0,0.0,4125986985.5,1014653917.5042456,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB029,149.7,30.883472746582257,145.0,2,0.0,2.0,0,0.0,0,0.0,0,0.0,4823733114,897127118.1791294,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB030,150.8,26.69082239272518,152.0,2,0.0,2.0,0,0.0,0,0.0,0,0.0,4839154332.7,1006351755.2710133,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB031,127.5,10.51189802081432,126.5,3,0.0,3.0,0,0.0,0,0.0,0,0.0,3481411972.6,884350720.3191191,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB032,140.1,20.179472518158423,137.0,2,0.0,2.0,0,0.0,0,0.0,0,0.0,3968743072.2,975197863.6631478,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB033,254.1,14.340695783523042,251.5,80,0.0,80.0,0,0.0,0,0.0,0,0.0,10846721153.4,1448385567.2583342,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB034,246.3,13.548677672255202,248.0,80,0.0,80.0,0,0.0,0,0.0,0,0.0,9797653391.8,2065389521.98507,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB035,152,26.997942308422115,149.5,2.3,0.48304589153964794,2.0,0,0.0,0,0.0,0,0.0,4087766506.5,852534495.1762942,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB036,162,28.840557861764356,160.0,2.3,0.48304589153964794,2.0,0,0.0,0,0.0,0,0.0,4682269803.9,1297571669.137757,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB037,985.8,67.53895994987715,955.5,1.7,0.48304589153964794,2.0,0,0.0,0,0.0,0,0.0,86680111205.8,10131019951.163584,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB038,1018.5,172.82312731036126,970.5,1.6,0.5163977794943222,2.0,0,0.0,0,0.0,0,0.0,83882570595,10756249626.50814,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB039,142.3,33.3601558749356,139.0,1,0.0,1.0,0,0.0,0,0.0,0,0.0,3956170572.9,1140747140.63037,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB040,134.8,42.05763241606028,123.5,1,0.0,1.0,0,0.0,0,0.0,0,0.0,4561372893.8,2435043675.189656,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB041,742.5,19.5348691091369,739.0,42.9,0.31622776601683794,43.0,0,0.0,0,0.0,0,0.0,12866638254.4,767322283.3628103,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB042,1936.9,182.6614658627022,1956.0,51.7,6.992853494818835,53.5,0,0.0,0,0.0,0,0.0,45188364463.3,3246549586.740584,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
